feature,importance_gain,importance_split
entry_tenji__mean,12444.917666435242,101
pred_mark__mean,4757.635630130768,90
N_winning_rate__mean,1155.9577722549438,62
N_2rentai_rate__mean,958.4969425201416,46
N_3rentai_rate__mean,946.0949773788452,57
entry_tenji__diff,723.1218256950378,26
entry_tenji__adiff,714.114173412323,25
time_tenji__mean,709.5178437232971,49
boat_3rentai_rate__mean,672.240469455719,50
N_winning_rate__diff,570.8494486808777,33
motor_3rentai_rate__mean,564.0387468338013,42
weight__diff,494.3635468482971,39
motor_2rentai_rate__mean,459.9879364967346,33
weight__adiff,457.8891968727112,32
motor_2rentai_rate__diff,455.0551438331604,32
N_2rentai_rate__adiff,437.72137212753296,32
age__diff,420.57239961624146,34
N_3rentai_rate__adiff,417.0093412399292,33
boat_2rentai_rate__adiff,398.7928628921509,29
N_3rentai_rate__diff,391.63274240493774,32
boat_3rentai_rate__adiff,390.66518926620483,28
LC_2rentai_rate__mean,390.0035514831543,31
age__mean,387.19605016708374,34
weight__mean,378.3527183532715,27
age__adiff,376.0555787086487,26
N_winning_rate__adiff,373.9005780220032,28
N_2rentai_rate__diff,365.023099899292,32
LC_3rentai_rate__diff,349.2278871536255,25
motor_3rentai_rate__diff,341.49211978912354,29
pred_mark__adiff,334.54529762268066,14
boat_2rentai_rate__diff,333.9202079772949,27
LC_2rentai_rate__diff,322.0619020462036,20
motor_3rentai_rate__adiff,320.5390295982361,26
LC_2rentai_rate__adiff,319.8668804168701,24
time_tenji__adiff,319.4999375343323,26
LC_winning_rate__adiff,316.73491287231445,25
boat_2rentai_rate__mean,307.5626587867737,23
ST_tenji__diff,300.96586656570435,25
LC_3rentai_rate__adiff,297.0105800628662,25
ST_mean__mean,277.3594083786011,21
time_tenji__diff,269.661660194397,26
motor_2rentai_rate__adiff,267.2172498703003,25
LC_winning_rate__mean,263.4880509376526,21
LC_3rentai_rate__mean,258.60026931762695,20
ST_tenji__adiff,253.44790124893188,18
ST_tenji__mean,251.49863004684448,20
LC_winning_rate__diff,231.40566158294678,19
day__mean,226.92898082733154,16
boat_3rentai_rate__diff,182.6940369606018,14
temperature__shared,170.24376010894775,14
water_temperature__shared,151.23596096038818,11
pred_mark__diff,139.74223041534424,7
wind_speed__shared,130.799738407135,10
ST_tenji_rank__adiff,117.47821092605591,10
ST_mean__diff,102.53320980072021,9
Tilt__diff,96.9907808303833,8
ST_mean__adiff,82.51777076721191,6
wave_height__shared,77.43461036682129,6
ST_tenji_rank__diff,73.09134006500244,6
section__mean,68.46929931640625,7
F__adiff,63.2278995513916,6
Tilt__mean,63.04396915435791,6
counter_weight__adiff,61.327110290527344,4
ST_tenji_rank__mean,57.681949615478516,5
F__mean,51.76598930358887,4
counter_weight__diff,48.46975040435791,5
run_once__adiff,36.89120101928711,3
Tilt__adiff,35.55159091949463,4
run_once__mean,32.91563034057617,4
run_once__diff,17.249399185180664,1
counter_weight__mean,13.70989990234375,1
F__diff,8.545350074768066,1
section__diff,0.0,0
L__adiff,0.0,0
L__diff,0.0,0
L__mean,0.0,0
day__adiff,0.0,0
day__diff,0.0,0
section__adiff,0.0,0
