feature,importance_gain,importance_split
is_top2__mean,107219.32444180007,539
entry_tenji__mean,4004.6229504850567,1371
is_top2__adiff,3778.8900646766415,52
is_top2__diff,2264.099887303775,31
pred_mark__mean,790.6778966273748,1453
entry_tenji__diff,316.6095009510355,288
N_winning_rate__mean,312.8309342187076,1122
entry_tenji__adiff,145.57588902749103,377
N_2rentai_rate__mean,123.01335040854951,440
N_3rentai_rate__mean,88.40691760991459,510
time_tenji__mean,45.540826562164554,87
motor_3rentai_rate__mean,36.629499871697035,85
weight__adiff,29.89941120683474,68
motor_3rentai_rate__diff,27.683598048328882,57
motor_2rentai_rate__mean,26.407378349655612,60
ST_mean__mean,25.9190534926998,47
LC_winning_rate__mean,25.755449124513667,50
time_tenji__adiff,23.976997904688616,30
ST_tenji__mean,19.09545365889678,53
LC_2rentai_rate__mean,18.601815178405843,100
age__mean,16.62065570909986,85
motor_2rentai_rate__adiff,16.11075326455668,56
weight__diff,15.602698009578615,61
boat_3rentai_rate__diff,15.142799252126238,51
N_winning_rate__adiff,14.009009252241592,67
temperature__shared,12.733957647251373,12
pred_mark__adiff,12.696382127237946,41
motor_2rentai_rate__diff,11.160406792824974,44
N_3rentai_rate__diff,11.056677513664239,46
ST_tenji_rank__mean,11.054200230150999,20
LC_3rentai_rate__diff,10.454972612245028,40
age__adiff,10.361257947406584,30
boat_3rentai_rate__mean,9.655616597466775,53
age__diff,9.556228564106465,51
weight__mean,9.374296374834914,46
ST_tenji__diff,8.96844064871068,52
LC_2rentai_rate__diff,8.64148386425805,24
ST_tenji__adiff,8.472853373664815,35
N_3rentai_rate__adiff,7.82619779238968,51
boat_2rentai_rate__diff,7.801563310434191,34
motor_3rentai_rate__adiff,7.744864770342259,39
LC_winning_rate__adiff,6.823012406607798,41
LC_3rentai_rate__mean,6.7562970811773715,68
Tilt__diff,6.09426296770205,11
run_once__mean,5.867454933882982,12
boat_3rentai_rate__adiff,5.797064235032316,48
LC_winning_rate__diff,5.097555814429731,31
N_2rentai_rate__diff,5.077132655210632,28
N_2rentai_rate__adiff,4.992806383640714,57
boat_2rentai_rate__mean,4.7383770125456275,33
run_once__adiff,4.682491965751979,4
boat_2rentai_rate__adiff,4.304906195298509,39
Tilt__mean,4.226783907170998,10
day__mean,4.0898945100496436,52
section__mean,3.6012837498028647,4
ST_mean__adiff,3.305530216282932,15
LC_2rentai_rate__adiff,2.502458617905602,34
ST_tenji_rank__diff,2.3581763156684947,17
ST_tenji_rank__adiff,2.1110990204761637,5
F__adiff,1.9645015955466079,8
LC_3rentai_rate__adiff,1.4503815168628864,29
pred_mark__diff,1.33743173445216,13
N_winning_rate__diff,1.0703563176312294,30
ST_mean__diff,1.0056847339157962,16
water_temperature__shared,0.9394275124504929,7
counter_weight__diff,0.7334182737249648,10
F__mean,0.3434697860642055,12
time_tenji__diff,0.3223105376518385,38
counter_weight__mean,0.2886669496074319,4
counter_weight__adiff,0.23248105950187892,3
wind_speed__shared,0.05089006372704456,10
wave_height__shared,0.029113635677119852,4
Tilt__adiff,0.01706221072883274,5
F__diff,0.015286865367670543,3
run_once__diff,0.00012506701380154972,4
section__adiff,0.0,0
L__adiff,0.0,0
L__diff,0.0,0
L__mean,0.0,0
day__adiff,0.0,0
day__diff,0.0,0
section__diff,0.0,0
